duration,price,date,origination,destination,depart,arrive,mode
7h 0m,$29.99,10-24-2019,Philadelphia,Boston,11:50 PM,6:50 AM,bus
6h 30m,$25.00,10-24-2019,Philadelphia,Boston,4:15 PM,10:45 PM,bus
7h 5m,$24.00,10-24-2019,Philadelphia,Boston,7:15 AM,2:20 PM,bus
5h 58m,$95.00,10-24-2019,Philadelphia,Boston,6:54 AM,12:52 PM,train
6h 1m,$95.00,10-24-2019,Philadelphia,Boston,10:40 AM,4:41 PM,train
6h 14m,$95.00,10-24-2019,Philadelphia,Boston,6:54 AM,1:08 PM,train
5h 25m,$239.00,10-24-2019,Philadelphia,Boston,5:35 PM,11:00 PM,train
6h 4m,$95.00,10-24-2019,Philadelphia,Boston,9:20 AM,3:24 PM,train
6h 11m,$95.00,10-24-2019,Philadelphia,Boston,10:40 AM,4:51 PM,train
6h 12m,$95.00,10-24-2019,Philadelphia,Boston,9:20 AM,3:32 PM,train
5h 26m,$177.00,10-24-2019,Philadelphia,Boston,11:38 AM,5:04 PM,train
6h 18m,$95.00,10-24-2019,Philadelphia,Boston,5:14 AM,11:32 AM,train
6h 22m,$95.00,10-24-2019,Philadelphia,Boston,6:46 AM,1:08 PM,train
6h 6m,$95.00,10-24-2019,Philadelphia,Boston,6:46 AM,12:52 PM,train
5h 25m,$177.00,10-24-2019,Philadelphia,Boston,8:38 AM,2:03 PM,train
6h 8m,$95.00,10-24-2019,Philadelphia,Boston,5:14 AM,11:22 AM,train
6h 31m,$95.00,10-24-2019,Philadelphia,Boston,12:05 PM,6:36 PM,train
6h 20m,$95.00,10-24-2019,Philadelphia,Boston,12:05 PM,6:25 PM,train
5h 14m,$177.00,10-24-2019,Philadelphia,Boston,11:38 AM,4:52 PM,train
6h 16m,$106.00,10-24-2019,Philadelphia,Boston,1:58 PM,8:14 PM,train
6h 27m,$106.00,10-24-2019,Philadelphia,Boston,1:58 PM,8:25 PM,train
6h 33m,$138.00,10-24-2019,Philadelphia,Boston,5:59 PM,12:32 AM,train
5h 25m,$208.00,10-24-2019,Philadelphia,Boston,10:38 AM,4:03 PM,train
6h 10m,$138.00,10-24-2019,Philadelphia,Boston,3:59 PM,10:09 PM,train
6h 21m,$138.00,10-24-2019,Philadelphia,Boston,3:59 PM,10:20 PM,train
6h 24m,$138.00,10-24-2019,Philadelphia,Boston,5:59 PM,12:23 AM,train
5h 21m,$177.00,10-24-2019,Philadelphia,Boston,6:34 AM,11:55 AM,train
8h 14m,$173.00,10-24-2019,Philadelphia,Boston,11:44 PM,7:58 AM,train
8h 9m,$173.00,10-24-2019,Philadelphia,Boston,11:44 PM,7:53 AM,train
5h 14m,$239.00,10-24-2019,Philadelphia,Boston,5:35 PM,10:49 PM,train
5h 14m,$208.00,10-24-2019,Philadelphia,Boston,10:38 AM,3:52 PM,train
5h 17m,$177.00,10-24-2019,Philadelphia,Boston,8:38 AM,1:55 PM,train
5h 10m,$177.00,10-24-2019,Philadelphia,Boston,6:34 AM,11:44 AM,train
5h 18m,$305.00,10-24-2019,Philadelphia,Boston,4:36 PM,9:54 PM,train
5h 7m,$260.00,10-24-2019,Philadelphia,Boston,1:32 PM,6:39 PM,train
5h 14m,$260.00,10-24-2019,Philadelphia,Boston,1:32 PM,6:46 PM,train
5h 6m,$305.00,10-24-2019,Philadelphia,Boston,4:36 PM,9:42 PM,train
5h 22m,$305.00,10-24-2019,Philadelphia,Boston,3:33 PM,8:55 PM,train
5h 22m,$305.00,10-24-2019,Philadelphia,Boston,2:32 PM,7:54 PM,train
