,depart,arrive,duration,price,carrier,date,origination,destination
0,10:00 AM,12:10 PM,2h 10m,$9.00,Megabus,10-17-2019,Philadelphia,NYC
0,9:00 AM,11:10 AM,2h 10m,$9.00,Megabus,10-17-2019,Philadelphia,NYC
0,8:15 AM,10:05 AM,1h 50m,$10.00,Peter Pan Lines,10-17-2019,Philadelphia,NYC
0,10:00 AM,11:50 AM,1h 50m,$10.00,Peter Pan Lines,10-17-2019,Philadelphia,NYC
0,5:59 PM,7:24 PM,1h 25m,$61.00,Amtrak Northeast Regional,10-17-2019,Philadelphia,NYC
0,11:05 AM,1:15 PM,2h 10m,$9.00,Megabus,10-17-2019,Philadelphia,NYC
0,8:00 AM,10:10 AM,2h 10m,$9.00,Megabus,10-17-2019,Philadelphia,NYC
0,12:20 PM,2:30 PM,2h 10m,$9.00,Megabus,10-17-2019,Philadelphia,NYC
0,11:00 AM,12:50 PM,1h 50m,$10.00,Peter Pan Lines,10-17-2019,Philadelphia,NYC
0,6:50 PM,8:12 PM,1h 22m,$61.00,Amtrak Keystone Service,10-17-2019,Philadelphia,NYC
0,5:10 PM,7:20 PM,2h 10m,$9.00,Megabus,10-17-2019,Philadelphia,NYC
0,1:20 PM,3:30 PM,2h 10m,$9.00,Megabus,10-17-2019,Philadelphia,NYC
0,2:15 PM,4:25 PM,2h 10m,$9.00,Megabus,10-17-2019,Philadelphia,NYC
0,12:01 PM,1:50 PM,1h 49m,$10.00,Peter Pan Lines,10-17-2019,Philadelphia,NYC
0,5:18 PM,6:54 PM,1h 36m,$61.00,Amtrak Keystone Service,10-17-2019,Philadelphia,NYC
0,2:35 PM,4:45 PM,2h 10m,$9.00,Megabus,10-17-2019,Philadelphia,NYC
0,7:00 AM,9:10 AM,2h 10m,$9.00,Megabus,10-17-2019,Philadelphia,NYC
0,5:00 PM,6:50 PM,1h 50m,$10.00,Peter Pan Lines,10-17-2019,Philadelphia,NYC
0,3:30 PM,5:20 PM,1h 50m,$10.00,Peter Pan Lines,10-17-2019,Philadelphia,NYC
0,7:40 PM,9:03 PM,1h 23m,$61.00,Amtrak Keystone Service,10-17-2019,Philadelphia,NYC
0,6:15 PM,8:25 PM,2h 10m,$9.00,Megabus,10-17-2019,Philadelphia,NYC
0,1:30 PM,3:20 PM,1h 50m,$10.00,Peter Pan Lines,10-17-2019,Philadelphia,NYC
0,2:30 PM,4:20 PM,1h 50m,$10.00,Peter Pan Lines,10-17-2019,Philadelphia,NYC
0,3:05 PM,5:15 PM,2h 10m,$9.00,Megabus,10-17-2019,Philadelphia,NYC
0,6:54 AM,8:15 AM,1h 21m,$61.00,Amtrak Northeast Regional,10-17-2019,Philadelphia,NYC
0,7:30 PM,9:20 PM,1h 50m,$10.00,Peter Pan Lines,10-17-2019,Philadelphia,NYC
0,6:00 AM,8:10 AM,2h 10m,$9.00,Megabus,10-17-2019,Philadelphia,NYC
0,6:00 PM,7:50 PM,1h 50m,$10.00,Peter Pan Lines,10-17-2019,Philadelphia,NYC
0,7:10 PM,9:20 PM,2h 10m,$9.00,Megabus,10-17-2019,Philadelphia,NYC
0,7:08 AM,8:30 AM,1h 22m,$61.00,Amtrak Keystone Service,10-17-2019,Philadelphia,NYC
0,3:20 AM,5:20 AM,2h 0m,$15.00,Megabus,10-17-2019,Philadelphia,NYC
0,2:00 AM,4:00 AM,2h 0m,$15.00,Megabus,10-17-2019,Philadelphia,NYC
0,7:00 AM,8:50 AM,1h 50m,$12.00,Peter Pan Lines,10-17-2019,Philadelphia,NYC
0,4:00 PM,6:10 PM,2h 10m,$9.00,Megabus,10-17-2019,Philadelphia,NYC
0,8:05 AM,9:26 AM,1h 21m,$61.00,Amtrak Keystone Service,10-17-2019,Philadelphia,NYC
0,5:20 AM,7:20 AM,2h 0m,$15.00,Megabus,10-17-2019,Philadelphia,NYC
0,6:00 AM,7:50 AM,1h 50m,$11.00,Peter Pan Lines,10-17-2019,Philadelphia,NYC
0,10:00 AM,12:00 PM,2h 0m,$10.00,BoltBus,10-17-2019,Philadelphia,NYC
0,8:00 AM,10:00 AM,2h 0m,$10.00,Greyhound,10-17-2019,Philadelphia,NYC
0,8:50 AM,10:11 AM,1h 21m,$61.00,Amtrak Keystone Service,10-17-2019,Philadelphia,NYC
0,10:10 AM,12:10 PM,2h 0m,$9.00,Megabus,10-17-2019,Philadelphia,NYC
0,9:10 AM,11:10 AM,2h 0m,$9.00,Megabus,10-17-2019,Philadelphia,NYC
0,5:20 PM,7:20 PM,2h 0m,$9.00,Megabus,10-17-2019,Philadelphia,NYC
0,7:00 AM,9:00 AM,2h 0m,$13.00,BoltBus,10-17-2019,Philadelphia,NYC
0,7:02 PM,8:41 PM,1h 39m,$61.00,Amtrak Northeast Regional,10-17-2019,Philadelphia,NYC
0,11:00 AM,1:00 PM,2h 0m,$10.00,Greyhound,10-17-2019,Philadelphia,NYC
0,12:30 PM,2:30 PM,2h 0m,$10.00,BoltBus,10-17-2019,Philadelphia,NYC
0,12:01 PM,2:00 PM,1h 59m,$10.00,BoltBus,10-17-2019,Philadelphia,NYC
0,9:00 PM,11:10 PM,2h 10m,$9.00,Megabus,10-17-2019,Philadelphia,NYC
0,9:45 AM,11:05 AM,1h 20m,$61.00,Amtrak Keystone Service,10-17-2019,Philadelphia,NYC
0,8:10 AM,10:10 AM,2h 0m,$9.00,Megabus,10-17-2019,Philadelphia,NYC
0,5:00 PM,7:00 PM,2h 0m,$10.00,BoltBus,10-17-2019,Philadelphia,NYC
0,11:15 AM,1:15 PM,2h 0m,$9.00,Megabus,10-17-2019,Philadelphia,NYC
0,9:30 AM,11:30 AM,2h 0m,$14.00,BoltBus,10-17-2019,Philadelphia,NYC
0,10:55 AM,12:15 PM,1h 20m,$61.00,Amtrak Keystone Service,10-17-2019,Philadelphia,NYC
0,8:00 AM,10:00 AM,2h 0m,$13.00,BoltBus,10-17-2019,Philadelphia,NYC
0,11:10 PM,"1:20 AM+1Arrives Fri, Oct 18, 2019",2h 10m,$9.00,Megabus,10-17-2019,Philadelphia,NYC
0,12:30 PM,2:30 PM,2h 0m,$9.00,Megabus,10-17-2019,Philadelphia,NYC
0,10:00 AM,12:10 PM,2h 10m,$10.00,Greyhound,10-17-2019,Philadelphia,NYC
0,7:00 AM,8:30 AM,1h 30m,$61.00,Amtrak Keystone Service,10-17-2019,Philadelphia,NYC
0,6:25 PM,8:25 PM,2h 0m,$9.00,Megabus,10-17-2019,Philadelphia,NYC
0,9:00 AM,11:10 AM,2h 10m,$10.00,Greyhound,10-17-2019,Philadelphia,NYC
0,1:30 PM,3:30 PM,2h 0m,$9.00,Megabus,10-17-2019,Philadelphia,NYC
0,4:10 PM,6:10 PM,2h 0m,$9.00,Megabus,10-17-2019,Philadelphia,NYC
0,5:14 AM,6:40 AM,1h 26m,$61.00,Amtrak Northeast Regional,10-17-2019,Philadelphia,NYC
0,7:10 AM,9:10 AM,2h 0m,$9.00,Megabus,10-17-2019,Philadelphia,NYC
0,7:00 PM,9:00 PM,2h 0m,$10.00,Greyhound,10-17-2019,Philadelphia,NYC
0,2:45 PM,4:45 PM,2h 0m,$9.00,Megabus,10-17-2019,Philadelphia,NYC
0,2:25 PM,4:25 PM,2h 0m,$9.00,Megabus,10-17-2019,Philadelphia,NYC
0,11:55 AM,1:15 PM,1h 20m,$61.00,Amtrak Keystone Service,10-17-2019,Philadelphia,NYC
0,4:05 AM,6:05 AM,2h 0m,$10.00,Greyhound,10-17-2019,Philadelphia,NYC
0,12:01 PM,2:10 PM,2h 9m,$10.00,Greyhound,10-17-2019,Philadelphia,NYC
0,2:05 AM,4:05 AM,2h 0m,$10.00,Greyhound,10-17-2019,Philadelphia,NYC
0,2:30 PM,4:30 PM,2h 0m,$13.00,BoltBus,10-17-2019,Philadelphia,NYC
0,2:05 PM,3:26 PM,1h 21m,$61.00,Amtrak Keystone Service,10-17-2019,Philadelphia,NYC
0,7:20 PM,9:20 PM,2h 0m,$9.00,Megabus,10-17-2019,Philadelphia,NYC
0,6:30 AM,8:40 AM,2h 10m,$9.00,Greyhound,10-17-2019,Philadelphia,NYC
0,3:15 PM,5:15 PM,2h 0m,$9.00,Megabus,10-17-2019,Philadelphia,NYC
0,6:10 AM,8:10 AM,2h 0m,$9.00,Megabus,10-17-2019,Philadelphia,NYC
0,3:25 PM,4:56 PM,1h 31m,$61.00,Amtrak Pennsylvanian,10-17-2019,Philadelphia,NYC
0,2:00 PM,4:10 PM,2h 10m,$10.00,Greyhound,10-17-2019,Philadelphia,NYC
0,9:55 PM,11:55 PM,2h 0m,$10.00,Greyhound,10-17-2019,Philadelphia,NYC
0,3:15 PM,5:15 PM,2h 0m,$12.00,BoltBus,10-17-2019,Philadelphia,NYC
0,7:30 PM,9:30 PM,2h 0m,$12.00,BoltBus,10-17-2019,Philadelphia,NYC
0,5:00 PM,6:30 PM,1h 30m,$100.00,Amtrak Northeast Regional,10-17-2019,Philadelphia,NYC
0,10:00 PM,11:59 PM,1h 59m,$10.00,BoltBus,10-17-2019,Philadelphia,NYC
0,7:15 AM,9:35 AM,2h 20m,$9.00,Greyhound,10-17-2019,Philadelphia,NYC
0,11:45 PM,"1:45 AM+1Arrives Fri, Oct 18, 2019",2h 0m,$10.00,Greyhound,10-17-2019,Philadelphia,NYC
0,9:10 PM,11:10 PM,2h 0m,$9.00,Megabus,10-17-2019,Philadelphia,NYC
0,3:59 PM,5:24 PM,1h 25m,$120.00,Amtrak Northeast Regional,10-17-2019,Philadelphia,NYC
0,6:00 PM,8:10 PM,2h 10m,$10.00,Greyhound,10-17-2019,Philadelphia,NYC
0,6:00 PM,8:00 PM,2h 0m,$12.00,BoltBus,10-17-2019,Philadelphia,NYC
0,11:20 PM,"1:20 AM+1Arrives Fri, Oct 18, 2019",2h 0m,$9.00,Megabus,10-17-2019,Philadelphia,NYC
0,5:00 PM,7:20 PM,2h 20m,$10.00,Greyhound,10-17-2019,Philadelphia,NYC
0,11:44 PM,"1:25 AM+1Arrives Fri, Oct 18, 2019",1h 41m,$61.00,Amtrak Northeast Regional,10-17-2019,Philadelphia,NYC
0,3:00 PM,5:20 PM,2h 20m,$10.00,Greyhound,10-17-2019,Philadelphia,NYC
0,4:00 PM,6:30 PM,2h 30m,$10.00,Greyhound,10-17-2019,Philadelphia,NYC
0,7:00 AM,9:30 AM,2h 30m,$13.00,BoltBus,10-17-2019,Philadelphia,NYC
0,5:00 PM,7:00 PM,2h 0m,$12.00,Wanda Coach,10-17-2019,Philadelphia,NYC
0,10:01 AM,11:21 AM,1h 20m,$80.00,Amtrak Vermonter,10-17-2019,Philadelphia,NYC
0,4:00 PM,6:00 PM,2h 0m,$12.00,Wanda Coach,10-17-2019,Philadelphia,NYC
0,10:00 AM,12:00 PM,2h 0m,$12.00,Wanda Coach,10-17-2019,Philadelphia,NYC
0,6:00 PM,8:30 PM,2h 30m,$12.00,BoltBus,10-17-2019,Philadelphia,NYC
0,7:00 PM,9:00 PM,2h 0m,$12.00,Wanda Coach,10-17-2019,Philadelphia,NYC
0,5:36 PM,6:58 PM,1h 22m,$100.00,Amtrak Northeast Regional,10-17-2019,Philadelphia,NYC
0,8:00 AM,10:00 AM,2h 0m,$12.00,Wanda Coach,10-17-2019,Philadelphia,NYC
0,9:00 AM,11:00 AM,2h 0m,$12.00,Wanda Coach,10-17-2019,Philadelphia,NYC
0,12:00 PM,2:00 PM,2h 0m,$12.00,Wanda Coach,10-17-2019,Philadelphia,NYC
0,8:30 AM,10:00 AM,1h 30m,$80.00,Amtrak Northeast Regional,10-17-2019,Philadelphia,NYC
0,2:00 PM,4:00 PM,2h 0m,$12.00,Wanda Coach,10-17-2019,Philadelphia,NYC
0,1:00 PM,3:00 PM,2h 0m,$12.00,Wanda Coach,10-17-2019,Philadelphia,NYC
0,5:05 PM,8:05 PM,3h 0m,$10.00,Greyhound,10-17-2019,Philadelphia,NYC
0,6:00 PM,8:00 PM,2h 0m,$12.00,Wanda Coach,10-17-2019,Philadelphia,NYC
0,7:27 AM,8:44 AM,1h 17m,$80.00,Amtrak Northeast Regional,10-17-2019,Philadelphia,NYC
0,3:00 PM,5:00 PM,2h 0m,$12.00,Wanda Coach,10-17-2019,Philadelphia,NYC
