,time,duration,price,date,origination,destination
0,   10:50 AM   –   11:57 AM   ,1h 7m,      $170   ,10-31-2019,Philadelphia,NYC
0,   3:10 PM   –   4:16 PM   ,1h 6m,      $170   ,10-31-2019,Philadelphia,NYC
0,   5:10 PM   –   6:14 PM   ,1h 4m,      $170   ,10-31-2019,Philadelphia,NYC
0,   8:58 PM   –   10:04 PM   ,1h 6m,      $170   ,10-31-2019,Philadelphia,NYC
0,   8:00 AM   –   5:14 PM   ,9h 14m,   $137   ,10-31-2019,Philadelphia,NYC
0,   4:27 PM   –   11:07 PM   ,6h 40m,   $137   ,10-31-2019,Philadelphia,NYC
0,   6:43 AM   –   4:35 PM   ,9h 52m,      $143   ,10-31-2019,Philadelphia,NYC
0,   5:00 AM   –   9:22 AM   ,4h 22m,      $145   ,10-31-2019,Philadelphia,NYC
0,   6:35 AM   –   11:20 AM   ,4h 45m,      $145   ,10-31-2019,Philadelphia,NYC
0,   8:48 AM   –   3:56 PM   ,7h 8m,   $151   ,10-31-2019,Philadelphia,NYC
0,   6:43 AM   –   9:55 AM   ,3h 12m,      $178   ,10-31-2019,Philadelphia,NYC
0,   7:44 AM   –   11:23 AM   ,3h 39m,      $178   ,10-31-2019,Philadelphia,NYC
0,   6:00 AM   –   3:50 PM   ,9h 50m,      $183   ,10-31-2019,Philadelphia,NYC
0,   10:34 AM   –   1:58 PM   ,3h 24m,      $190   ,10-31-2019,Philadelphia,NYC
