,duration,price,date,origination,destination,depart,arrive,mode
3,53,$390 ,11/3/19,DC,Philadelphia,   7:13 PM   ,   8:06 PM   ,plane
15,56,$390 ,10/17/19,Philadelphia,DC,   7:59 AM   ,   8:55 AM   ,plane
16,53,$390 ,10/17/19,Philadelphia,DC,   12:25 PM   ,   1:18 PM   ,plane
17,51,$390 ,10/17/19,Philadelphia,DC,   4:50 PM   ,   5:41 PM   ,plane
18,56,$390 ,10/17/19,Philadelphia,DC,   5:50 PM   ,   6:46 PM   ,plane
19,56,$390 ,10/17/19,Philadelphia,DC,   9:45 PM   ,   10:41 PM   ,plane
23,57,$390 ,10/17/19,Philadelphia,DC,   1:20 PM   ,   2:17 PM   ,plane
25,55,$408 ,10/17/19,Philadelphia,DC,   6:43 AM   ,   7:38 AM   ,plane
33,51,$390 ,10/24/19,Philadelphia,DC,   4:50 PM   ,   5:41 PM   ,plane
43,56,$390 ,10/24/19,Philadelphia,DC,   7:59 AM   ,   8:55 AM   ,plane
44,53,$390 ,10/24/19,Philadelphia,DC,   12:25 PM   ,   1:18 PM   ,plane
45,57,$390 ,10/24/19,Philadelphia,DC,   1:20 PM   ,   2:17 PM   ,plane
46,56,$390 ,10/24/19,Philadelphia,DC,   5:50 PM   ,   6:46 PM   ,plane
47,56,$390 ,10/24/19,Philadelphia,DC,   9:45 PM   ,   10:41 PM   ,plane
49,55,$408 ,10/24/19,Philadelphia,DC,   6:43 AM   ,   7:38 AM   ,plane
52,53,$390 ,10/20/19,DC,Philadelphia,   9:21 AM   ,   10:14 AM   ,plane
53,54,$390 ,10/20/19,DC,Philadelphia,   2:53 PM   ,   3:47 PM   ,plane
54,59,$390 ,10/20/19,DC,Philadelphia,   6:10 PM   ,   7:09 PM   ,plane
55,59,$390 ,10/20/19,DC,Philadelphia,   7:11 PM   ,   8:10 PM   ,plane
86,53,$390 ,11/3/19,DC,Philadelphia,   7:13 PM   ,   8:06 PM   ,plane
98,56,$390 ,10/17/19,Philadelphia,DC,   7:59 AM   ,   8:55 AM   ,plane
99,53,$390 ,10/17/19,Philadelphia,DC,   12:25 PM   ,   1:18 PM   ,plane
100,51,$390 ,10/17/19,Philadelphia,DC,   4:50 PM   ,   5:41 PM   ,plane
101,56,$390 ,10/17/19,Philadelphia,DC,   5:50 PM   ,   6:46 PM   ,plane
102,56,$390 ,10/17/19,Philadelphia,DC,   9:45 PM   ,   10:41 PM   ,plane
106,57,$390 ,10/17/19,Philadelphia,DC,   1:20 PM   ,   2:17 PM   ,plane
108,55,$408 ,10/17/19,Philadelphia,DC,   6:43 AM   ,   7:38 AM   ,plane
116,51,$390 ,10/24/19,Philadelphia,DC,   4:50 PM   ,   5:41 PM   ,plane
126,56,$390 ,10/24/19,Philadelphia,DC,   7:59 AM   ,   8:55 AM   ,plane
127,53,$390 ,10/24/19,Philadelphia,DC,   12:25 PM   ,   1:18 PM   ,plane
128,57,$390 ,10/24/19,Philadelphia,DC,   1:20 PM   ,   2:17 PM   ,plane
129,56,$390 ,10/24/19,Philadelphia,DC,   5:50 PM   ,   6:46 PM   ,plane
130,56,$390 ,10/24/19,Philadelphia,DC,   9:45 PM   ,   10:41 PM   ,plane
132,55,$408 ,10/24/19,Philadelphia,DC,   6:43 AM   ,   7:38 AM   ,plane
135,53,$390 ,10/20/19,DC,Philadelphia,   9:21 AM   ,   10:14 AM   ,plane
136,54,$390 ,10/20/19,DC,Philadelphia,   2:53 PM   ,   3:47 PM   ,plane
137,59,$390 ,10/20/19,DC,Philadelphia,   6:10 PM   ,   7:09 PM   ,plane
138,59,$390 ,10/20/19,DC,Philadelphia,   7:11 PM   ,   8:10 PM   ,plane
167,53,$390 ,10/27/19,DC,Philadelphia,   9:21 AM   ,   10:14 AM   ,plane
168,54,$390 ,10/27/19,DC,Philadelphia,   2:53 PM   ,   3:47 PM   ,plane
181,59,$390 ,10/27/19,DC,Philadelphia,   6:10 PM   ,   7:09 PM   ,plane
182,59,$390 ,10/27/19,DC,Philadelphia,   7:11 PM   ,   8:10 PM   ,plane
187,53,$390 ,10/27/19,DC,Philadelphia,   9:21 AM   ,   10:14 AM   ,plane
188,54,$390 ,10/27/19,DC,Philadelphia,   2:53 PM   ,   3:47 PM   ,plane
201,59,$390 ,10/27/19,DC,Philadelphia,   6:10 PM   ,   7:09 PM   ,plane
202,59,$390 ,10/27/19,DC,Philadelphia,   7:11 PM   ,   8:10 PM   ,plane
0,96,$94 ,11/3/19,Boston,Philadelphia,   5:00 AM   ,   6:36 AM   ,plane
1,96,$94 ,11/3/19,Boston,Philadelphia,   6:00 AM   ,   7:36 AM   ,plane
2,99,$94 ,11/3/19,Boston,Philadelphia,   7:38 AM   ,   9:17 AM   ,plane
3,101,$94 ,11/3/19,Boston,Philadelphia,   8:03 AM   ,   9:44 AM   ,plane
4,97,$104 ,11/3/19,Boston,Philadelphia,   9:38 PM   ,   11:15 PM   ,plane
5,98,$104 ,11/3/19,Boston,Philadelphia,   8:21 AM   ,   9:59 AM   ,plane
6,96,$144 ,11/3/19,Boston,Philadelphia,   12:34 PM   ,   2:10 PM   ,plane
7,100,$144 ,11/3/19,Boston,Philadelphia,   5:36 PM   ,   7:16 PM   ,plane
8,101,$144 ,11/3/19,Boston,Philadelphia,   6:39 PM   ,   8:20 PM   ,plane
9,94,$149 ,11/3/19,Boston,Philadelphia,   10:09 AM   ,   11:43 AM   ,plane
10,101,$149 ,11/3/19,Boston,Philadelphia,   10:45 AM   ,   12:26 PM   ,plane
11,108,$149 ,11/3/19,Boston,Philadelphia,   3:54 PM   ,   5:42 PM   ,plane
12,97,$164 ,11/3/19,Boston,Philadelphia,   11:07 AM   ,   12:44 PM   ,plane
13,109,$184 ,11/3/19,Boston,Philadelphia,   6:55 PM   ,   8:44 PM   ,plane
14,97,$189 ,11/3/19,Boston,Philadelphia,   2:10 PM   ,   3:47 PM   ,plane
15,94,$194 ,11/3/19,Boston,Philadelphia,   11:02 AM   ,   12:36 PM   ,plane
16,103,$194 ,11/3/19,Boston,Philadelphia,   4:42 PM   ,   6:25 PM   ,plane
17,105,$194 ,11/3/19,Boston,Philadelphia,   5:50 PM   ,   7:35 PM   ,plane
18,104,$194 ,11/3/19,Boston,Philadelphia,   7:12 PM   ,   8:56 PM   ,plane
19,104,$194 ,11/3/19,Boston,Philadelphia,   7:47 PM   ,   9:31 PM   ,plane
20,91,$209 ,10/17/19,Philadelphia,Boston,   8:40 PM   ,   10:11 PM   ,plane
21,90,$214 ,10/17/19,Philadelphia,Boston,   6:00 AM   ,   7:30 AM   ,plane
22,97,$214 ,10/17/19,Philadelphia,Boston,   9:41 PM   ,   11:18 PM   ,plane
23,92,$209 ,10/17/19,Philadelphia,Boston,   8:46 AM   ,   10:18 AM   ,plane
24,93,$209 ,10/17/19,Philadelphia,Boston,   10:38 AM   ,   12:11 PM   ,plane
25,96,$209 ,10/17/19,Philadelphia,Boston,   12:40 PM   ,   2:16 PM   ,plane
26,98,$209 ,10/17/19,Philadelphia,Boston,   6:51 PM   ,   8:29 PM   ,plane
27,97,$214 ,10/17/19,Philadelphia,Boston,   5:00 AM   ,   6:37 AM   ,plane
28,102,$214 ,10/17/19,Philadelphia,Boston,   6:20 AM   ,   8:02 AM   ,plane
29,101,$214 ,10/17/19,Philadelphia,Boston,   7:38 AM   ,   9:19 AM   ,plane
30,102,$214 ,10/17/19,Philadelphia,Boston,   8:08 AM   ,   9:50 AM   ,plane
31,107,$214 ,10/17/19,Philadelphia,Boston,   9:27 AM   ,   11:14 AM   ,plane
32,95,$214 ,10/17/19,Philadelphia,Boston,   10:09 AM   ,   11:44 AM   ,plane
33,101,$214 ,10/17/19,Philadelphia,Boston,   10:45 AM   ,   12:26 PM   ,plane
34,93,$214 ,10/17/19,Philadelphia,Boston,   11:06 AM   ,   12:39 PM   ,plane
35,106,$214 ,10/17/19,Philadelphia,Boston,   1:00 PM   ,   2:46 PM   ,plane
36,109,$214 ,10/17/19,Philadelphia,Boston,   6:55 PM   ,   8:44 PM   ,plane
37,107,$214 ,10/17/19,Philadelphia,Boston,   7:47 PM   ,   9:34 PM   ,plane
38,102,$254 ,10/17/19,Philadelphia,Boston,   2:30 PM   ,   4:12 PM   ,plane
39,103,$254 ,10/17/19,Philadelphia,Boston,   4:30 PM   ,   6:13 PM   ,plane
40,108,$314 ,10/17/19,Philadelphia,Boston,   3:54 PM   ,   5:42 PM   ,plane
41,107,$324 ,10/17/19,Philadelphia,Boston,   7:07 PM   ,   8:54 PM   ,plane
42,111,$430 ,10/17/19,Philadelphia,Boston,   5:50 PM   ,   7:41 PM   ,plane
43,106,$909 ,10/17/19,Philadelphia,Boston,   4:54 PM   ,   6:40 PM   ,plane
44,92,$144 ,10/24/19,Philadelphia,Boston,   8:46 AM   ,   10:18 AM   ,plane
45,90,$149 ,10/24/19,Philadelphia,Boston,   6:00 AM   ,   7:30 AM   ,plane
46,97,$149 ,10/24/19,Philadelphia,Boston,   9:41 PM   ,   11:18 PM   ,plane
47,93,$144 ,10/24/19,Philadelphia,Boston,   10:38 AM   ,   12:11 PM   ,plane
48,96,$144 ,10/24/19,Philadelphia,Boston,   12:40 PM   ,   2:16 PM   ,plane
49,97,$149 ,10/24/19,Philadelphia,Boston,   5:00 AM   ,   6:37 AM   ,plane
50,102,$149 ,10/24/19,Philadelphia,Boston,   6:20 AM   ,   8:02 AM   ,plane
51,101,$149 ,10/24/19,Philadelphia,Boston,   7:38 AM   ,   9:19 AM   ,plane
52,102,$149 ,10/24/19,Philadelphia,Boston,   8:08 AM   ,   9:50 AM   ,plane
53,107,$149 ,10/24/19,Philadelphia,Boston,   9:27 AM   ,   11:14 AM   ,plane
54,95,$149 ,10/24/19,Philadelphia,Boston,   10:09 AM   ,   11:44 AM   ,plane
55,101,$149 ,10/24/19,Philadelphia,Boston,   10:45 AM   ,   12:26 PM   ,plane
56,93,$149 ,10/24/19,Philadelphia,Boston,   11:06 AM   ,   12:39 PM   ,plane
57,106,$149 ,10/24/19,Philadelphia,Boston,   1:00 PM   ,   2:46 PM   ,plane
58,91,$189 ,10/24/19,Philadelphia,Boston,   8:40 PM   ,   10:11 PM   ,plane
59,102,$244 ,10/24/19,Philadelphia,Boston,   2:30 PM   ,   4:12 PM   ,plane
60,109,$269 ,10/24/19,Philadelphia,Boston,   6:55 PM   ,   8:44 PM   ,plane
61,103,$274 ,10/24/19,Philadelphia,Boston,   4:30 PM   ,   6:13 PM   ,plane
62,98,$292 ,10/24/19,Philadelphia,Boston,   6:51 PM   ,   8:29 PM   ,plane
63,108,$314 ,10/24/19,Philadelphia,Boston,   3:54 PM   ,   5:42 PM   ,plane
64,107,$324 ,10/24/19,Philadelphia,Boston,   7:07 PM   ,   8:54 PM   ,plane
65,107,$324 ,10/24/19,Philadelphia,Boston,   7:47 PM   ,   9:34 PM   ,plane
66,111,$430 ,10/24/19,Philadelphia,Boston,   5:50 PM   ,   7:41 PM   ,plane
67,106,$909 ,10/24/19,Philadelphia,Boston,   4:54 PM   ,   6:40 PM   ,plane
68,81,$209 ,10/20/19,Boston,Philadelphia,   7:00 AM   ,   8:21 AM   ,plane
69,78,$214 ,10/20/19,Boston,Philadelphia,   7:44 AM   ,   9:02 AM   ,plane
70,103,$214 ,10/20/19,Boston,Philadelphia,   6:17 PM   ,   8:00 PM   ,plane
71,94,$209 ,10/20/19,Boston,Philadelphia,   6:55 PM   ,   8:29 PM   ,plane
72,81,$209 ,10/20/19,Boston,Philadelphia,   9:10 PM   ,   10:31 PM   ,plane
73,81,$214 ,10/20/19,Boston,Philadelphia,   6:00 AM   ,   7:21 AM   ,plane
74,90,$214 ,10/20/19,Boston,Philadelphia,   9:05 PM   ,   10:35 PM   ,plane
75,92,$229 ,10/20/19,Boston,Philadelphia,   3:26 PM   ,   4:58 PM   ,plane
76,100,$229 ,10/20/19,Boston,Philadelphia,   6:20 PM   ,   8:00 PM   ,plane
77,84,$244 ,10/20/19,Boston,Philadelphia,   12:51 PM   ,   2:15 PM   ,plane
78,96,$269 ,10/20/19,Boston,Philadelphia,   11:51 AM   ,   1:27 PM   ,plane
79,97,$269 ,10/20/19,Boston,Philadelphia,   9:15 PM   ,   10:52 PM   ,plane
80,84,$274 ,10/20/19,Boston,Philadelphia,   2:56 PM   ,   4:20 PM   ,plane
81,87,$274 ,10/20/19,Boston,Philadelphia,   4:55 PM   ,   6:22 PM   ,plane
82,81,$292 ,10/20/19,Boston,Philadelphia,   10:53 AM   ,   12:14 PM   ,plane
83,97,$314 ,10/20/19,Boston,Philadelphia,   1:02 PM   ,   2:39 PM   ,plane
84,95,$314 ,10/20/19,Boston,Philadelphia,   3:21 PM   ,   4:56 PM   ,plane
85,82,$324 ,10/20/19,Boston,Philadelphia,   2:29 PM   ,   3:51 PM   ,plane
86,87,$324 ,10/20/19,Boston,Philadelphia,   5:30 PM   ,   6:57 PM   ,plane
87,96,$909 ,10/20/19,Boston,Philadelphia,   8:45 AM   ,   10:21 AM   ,plane
88,86,$909 ,10/20/19,Boston,Philadelphia,   9:34 AM   ,   11:00 AM   ,plane
89,95,$94 ,10/31/19,Philadelphia,Boston,   6:05 AM   ,   7:40 AM   ,plane
90,78,$94 ,10/31/19,Philadelphia,Boston,   7:44 AM   ,   9:02 AM   ,plane
